imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0130623,Dinosaur,82,"['Animation, Adventure, Family']",6.5,52879,137748063,2000
tt0180073,Quills,124,"['Biography, Drama']",7.3,51388,7060876,2000
tt0171433,Keeping the Faith,128,"['Comedy, Drama, Romance']",6.3,49634,37047880,2000
tt0181984,Boiler Room,120,"['Crime, Drama, Thriller']",7.0,49063,16938179,2000
tt0144528,Nutty Professor II: The Klumps,106,"['Comedy, Romance, Sci-Fi']",4.4,48038,123309890,2000
tt0191754,28 Days,103,"['Comedy, Drama']",6.1,44703,37170488,2000
tt0160797,Rules of Engagement,128,"['Drama, Thriller, War']",6.4,44155,61335230,2000
tt0210070,Ginger Snaps,108,"['Drama, Fantasy, Horror']",6.8,41859,2554,2000
tt0219854,The Kid,104,"['Comedy, Family, Fantasy']",6.1,40037,69691949,2000
tt0189998,Shadow of the Vampire,92,"['Drama, Horror']",6.9,39914,8293784,2000
tt0170691,Tigerland,101,"['Drama, War']",6.9,37785,139692,2000
tt0184858,Reindeer Games,104,"['Action, Adventure, Crime']",5.8,37401,23360779,2000
tt0196216,Small Time Crooks,94,"['Comedy, Crime']",6.7,36710,17071230,2000
tt0195945,Next Friday,98,['Comedy'],6.2,36543,57328603,2000
tt0221073,Chopper,94,"['Biography, Crime, Drama']",7.2,36036,234259,2000
tt0229260,Book of Shadows: Blair Witch 2,90,"['Adventure, Fantasy, Horror']",4.0,35705,26437094,2000
tt0211181,102 Dalmatians,100,"['Adventure, Comedy, Family']",4.9,34546,66957026,2000
tt0171580,Nurse Betty,110,"['Comedy, Crime, Drama']",6.1,32828,25167270,2000
tt0208988,Get Carter,102,"['Action, Crime, Drama']",5.2,32503,14967182,2000
tt0219653,Dracula 2000,99,"['Action, Fantasy, Horror']",4.9,31939,33022767,2000
tt0190374,Dungeons &amp; Dragons,107,"['Action, Adventure, Fantasy']",3.6,31879,15220685,2000
tt0202677,The Way of the Gun,119,"['Action, Crime, Drama']",6.7,31686,6055661,2000
tt0198021,Where the Heart Is,120,"['Comedy, Drama, Romance']",6.8,31587,33771174,2000
tt0192614,The Skulls,106,"['Action, Crime, Drama']",5.6,30835,35007180,2000
tt0216651,Vampire Hunter D: Bloodlust,103,"['Animation, Action, Fantasy']",7.7,29044,151086,2000
tt0160009,The Art of War,117,"['Action, Adventure, Crime']",5.7,28588,30208599,2000
tt0203230,You Can Count on Me,111,['Drama'],7.5,27991,9180275,2000
tt0183659,Pollock,122,"['Biography, Drama']",7.0,26791,8596914,2000
tt0217630,Loser,98,"['Comedy, Romance']",5.3,26481,15618626,2000
tt0260991,Joint Security Area,110,"['Action, Drama, Thriller']",7.8,26208,,2000
tt0204626,The Watcher,97,"['Crime, Drama, Mystery']",5.3,25775,28927720,2000
tt0174480,Autumn in New York,103,"['Drama, Romance']",5.7,24839,37752931,2000
tt0247196,Before Night Falls,133,"['Biography, Drama, Romance']",7.2,23890,4221817,2000
tt0208874,The Contender,126,"['Drama, Thriller']",6.9,22787,17872723,2000
tt0164212,Under Suspicion,110,"['Crime, Drama, Thriller']",6.5,22493,258691,2000
tt0222851,Brother,114,"['Crime, Drama, Thriller']",7.2,21734,447750,2000
tt0158622,The Flintstones in Viva Rock Vegas,90,"['Comedy, Family, Romance']",3.7,21537,35268275,2000
tt0177858,In July,99,"['Adventure, Comedy, Romance']",7.7,20914,,2000
tt0120753,The Million Dollar Hotel,122,"['Drama, Mystery, Thriller']",5.9,20711,52526,2000
tt0214388,100 Girls,94,"['Comedy, Romance']",5.8,20672,,2000
tt0244316,Yi Yi,173,"['Drama, Romance']",8.2,20428,1136776,2000
tt0120202,State and Main,105,"['Comedy, Drama']",6.7,20323,6920692,2000
tt0186894,Bounce,106,"['Drama, Romance']",5.7,19931,36805288,2000
tt0138946,The Yards,115,"['Crime, Drama, Romance']",6.4,19865,882710,2000
tt0122459,Return to Me,115,"['Comedy, Drama, Romance']",6.9,19558,32662299,2000
tt0144964,Highlander: Endgame,87,"['Action, Adventure, Fantasy']",4.6,19298,12801190,2000
tt0131704,The Adventures of Rocky &amp; Bullwinkle,92,"['Animation, Adventure, Comedy']",4.2,19293,26000610,2000
tt0156812,My Dog Skip,95,"['Comedy, Drama, Family']",7.0,19237,34099640,2000
tt0210616,Center Stage,115,"['Drama, Music, Romance']",6.7,18906,17174870,2000
tt0199725,Love &amp; Basketball,124,"['Drama, Romance, Sport']",7.2,18450,27441122,2000
tt0205271,Dr. T &amp; the Women,122,"['Comedy, Drama, Romance']",4.6,17653,13113041,2000
tt0195234,Saving Grace,93,"['Comedy, Crime']",6.9,17505,12115757,2000
